Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<long long> >::deallocate(std::allocator<long long>&, long long*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<long long> >::allocate(std::allocator<long long>&, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<long long> >::max_size(std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__uninitialized_default_n_1<true>::__uninit_default_n<long long*, unsigned long>(long long*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_S_max_size(std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_S_check_init_len(unsigned long, std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::_M_default_initialize(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<long long, std::allocator<long long> >::vector(unsigned long, std::allocator<long long> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Any_data::_M_access()
  0.00      0.00     0.00        2     0.00     0.00  SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}*& std::_Any_data::_M_access<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}*>()
  0.00      0.00     0.00        2     0.00     0.00  void std::_Construct<long long>(long long*)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__fill_n_a<long long*, unsigned long, long long>(long long*, unsigned long, long long const&, std::random_access_iterator_tag)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__addressof<long long>(long long&)
  0.00      0.00     0.00        2     0.00     0.00  std::iterator_traits<long long*>::iterator_category std::__iterator_category<long long*>(long long* const&)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__uninitialized_default_n<long long*, unsigned long>(long long*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::__uninitialized_default_n_a<long long*, unsigned long, long long>(long long*, unsigned long, std::allocator<long long>&)
  0.00      0.00     0.00        2     0.00     0.00  long long* std::fill_n<long long*, unsigned long, long long>(long long*, unsigned long, long long const&)
  0.00      0.00     0.00        2     0.00     0.00  SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}& std::forward<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&>(std::remove_reference<SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}&>::type&)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  SegTree::sum(long long, long long)
